State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,Yield_Index,is_outlier
Puducherry,Puducherry District D,2015,Summer,Jowar,37918.1,30437.56,0.8027184906416726,0.7953536774479324,0
Karnataka,Karnataka District E,2015,Rabi,Onion,619.98,5026.27,8.107148617697346,0.7126027922012381,0
Kerala,Kerala District B,2015,Kharif,Sugarcane,9168.84,196896.95,21.4745758460176,0.34983812225568206,0
Telangana,Telangana District D,2015,Summer,Arhar/Tur,15323.37,8358.79,0.545492930080002,0.6835513778892616,0
West Bengal,West Bengal District D,2015,Rabi,Onion,49242.18,447034.21,9.07827821595226,0.7979632186519221,0
Tripura,Tripura District D,2015,Rabi,Groundnut,502.38,476.53,0.9485449261515188,0.7853679504483314,0
Mizoram,Mizoram District D,2015,Kharif,Bajra,974.84,1012.29,1.0384165606663658,0.8592895347415151,0
Haryana,Haryana District B,2015,Rabi,Urad,37406.13,9843.86,0.26316167964983284,0.5178400138824653,0
Assam,Assam District D,2015,Rabi,Rapeseed &Mustard,9983.2,5363.87,0.5372896466062985,0.6746149302509704,0
Sikkim,Sikkim District E,2015,Kharif,Peas & beans (Pulses),3897.45,2796.7,0.717571745628552,0.7317123794196947,0
Punjab,Punjab District A,2015,Autumn,Sugarcane,5638.49,408310.72,72.41490540907229,1.179697085208354,0
Himachal Pradesh,Himachal Pradesh District B,2015,Kharif,Groundnut,61715.74,54860.26,0.8889184509494661,0.7359989418428138,0
Kerala,Kerala District B,2015,Kharif,Rice,32796.89,46993.03,1.4328501879294042,0.6959731822965584,0
Himachal Pradesh,Himachal Pradesh District C,2015,Rabi,Gram,17120.37,10528.24,0.6149539992418388,0.7105887434660665,0
Goa,Goa District B,2015,Kharif,Peas & beans (Pulses),5732.37,8760.34,1.5282230560832606,1.5583385709692672,0
Uttarakhand,Uttarakhand District E,2015,Kharif,Peas & beans (Pulses),19504.58,10926.93,0.5602238038450456,0.5712637029206629,0
Andaman and Nicobar Islands,Andaman And Nicobar Islands District C,2015,Rabi,Potato,24577.7,211462.27,8.603826639596056,0.6265017995937101,0
Kerala,Kerala District D,2015,Kharif,Jowar,9901.82,5728.59,0.5785390968529018,0.5732310935824269,0
Tripura,Tripura District A,2015,Kharif,Sesamum,10968.57,3468.8,0.31624906437211053,0.8344122919902441,0
Assam,Assam District E,2015,Rabi,Dry chillies,10397.71,3865.43,0.3717578197506951,0.3445099137301706,0
Jharkhand,Jharkhand District A,2015,Kharif,Small millets,7422.91,3424.94,0.46140125638058394,0.7329219567887826,0
Himachal Pradesh,Himachal Pradesh District A,2015,Autumn,Small millets,93991.46,43713.81,0.4650827851806961,0.738769954068458,0
Odisha,Odisha District E,2015,Kharif,Sugarcane,6946.51,224015.38,32.24862268966719,0.5253560157826042,0
Uttarakhand,Uttarakhand District C,2015,Kharif,Small millets,32668.72,15898.85,0.48666889917939854,0.77305884403703,0
Bihar,Bihar District B,2015,Rabi,Jowar,42479.24,36278.47,0.8540282264936944,0.846192654716496,0
Dadra and Nagar Haveli,Dadra And Nagar Haveli District E,2015,Whole Year,Wheat,518.17,633.97,1.2234787810950076,0.5445406170574488,0
West Bengal,West Bengal District D,2015,Rabi,Sesamum,70654.25,30630.96,0.43353315617956456,1.143862339070549,0
Karnataka,Karnataka District D,2015,Rabi,Urad,64754.76,24921.0,0.3848520170563523,0.7572978486850255,0
Uttar Pradesh,Uttar Pradesh District D,2015,Kharif,Rapeseed &Mustard,20353.31,12101.2,0.5945568558627565,0.7465190040075262,0
Kerala,Kerala District E,2015,Winter,Groundnut,8273.44,6550.19,0.791712999671237,0.6555156205598394,0
